Tên,Địa chỉ,Số điện thoại,Link
Nhà thuốc Hoàng Mai Thái Bình,"Địa chỉ: QL39B, Vũ Lạc, Kiến Xương, Thái Bình",Số điện thoại: 0944 345 746,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Ho%C3%A0ng+Mai+Th%C3%A1i+B%C3%ACnh/data=!4m7!3m6!1s0x3135fbafc84e2b31:0x45647041c6ff99cf!8m2!3d20.4263267!4d106.3700118!16s%2Fg%2F11j7j52_p5!19sChIJMStOyK_7NTERz5n_xkFwZEU?authuser=0&hl=vi&rclk=1
NHÀ THUỐC TÂM,"Địa chỉ: 38 Ng. Thì Nhậm, P. Quan Trung, Thái Bình",Số điện thoại: 0772 708 999,https://www.google.com/maps/place/NH%C3%80+THU%E1%BB%90C+T%C3%82M/data=!4m7!3m6!1s0x3135e4c50deceda3:0xd3823d4b124dbb02!8m2!3d20.4381606!4d106.3328037!16s%2Fg%2F11c1t5h42q!19sChIJo-3sDcXkNTERArtNEks9gtM?authuser=0&hl=vi&rclk=1
Nhà Thuốc Mekong,"Địa chỉ: Trần Lãm, Tp. Thái Bình, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Mekong/data=!4m7!3m6!1s0x3135fb2d0a4b128b:0xf9c44e27d2859223!8m2!3d20.440591!4d106.3491157!16s%2Fg%2F11ty517wgv!19sChIJixJLCi37NTERI5KF0idOxPk?authuser=0&hl=vi&rclk=1
Nhà Thuốc Sao Mai,"Địa chỉ: tt. Tiền Hải, Tiền Hải, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Sao+Mai/data=!4m7!3m6!1s0x3135f8c5072daa9d:0x47efc952ab3c3ca6!8m2!3d20.4035528!4d106.5022853!16s%2Fg%2F11xg3rjcqw!19sChIJnaotB8X4NTERpjw8q1LJ70c?authuser=0&hl=vi&rclk=1
Nhà thuốc Hội Huyền,"Địa chỉ: 18 - Phố Lê Quý Đôn, Tổ 11+12, Thái Bình, 06114",Số điện thoại: 0974 282 659,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+H%E1%BB%99i+Huy%E1%BB%81n/data=!4m7!3m6!1s0x3135e50bd803058b:0x8bcafd325484c526!8m2!3d20.4584467!4d106.3355205!16s%2Fg%2F11vkz2pnwg!19sChIJiwUD2AvlNTERJsWEVDL9yos?authuser=0&hl=vi&rclk=1
Nhà thuốc Liên Phong,"Địa chỉ: 86 Bùi Sỹ Tiêm, Đông Hưng, Thái Bình, 410000",Số điện thoại: 0983 212 159,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Li%C3%AAn+Phong/data=!4m7!3m6!1s0x3135e590a8bc2989:0x3d9a1c69b6027d2f!8m2!3d20.5550153!4d106.3550598!16s%2Fg%2F11ngjrv7kw!19sChIJiSm8qJDlNTERL30Ctmkcmj0?authuser=0&hl=vi&rclk=1
Nhà thuốc Kiên Quế,"Địa chỉ: Ngã Tư, Thái Thụy, Thái Bình",Số điện thoại: 0982 215 003,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Ki%C3%AAn+Qu%E1%BA%BF/data=!4m7!3m6!1s0x3135f7f5dfc112bd:0xbd8522ea342cd8d5!8m2!3d20.5065334!4d106.5122825!16s%2Fg%2F11t_vl0g_0!19sChIJvRLB3_X3NTER1dgsNOoihb0?authuser=0&hl=vi&rclk=1
NHÀ THUỐC CƯỜNG OANH,"Địa chỉ: Xóm4, thôn Bình Sơn, Kiến Xương, Thái Bình",Số điện thoại: 0968 716 850,https://www.google.com/maps/place/NH%C3%80+THU%E1%BB%90C+C%C6%AF%E1%BB%9CNG+OANH/data=!4m7!3m6!1s0x3135fbe2c7669beb:0xf58f785e87b55bee!8m2!3d20.4601605!4d106.4006338!16s%2Fg%2F11lyc7q0vn!19sChIJ65tmx-L7NTER7lu1h154j_U?authuser=0&hl=vi&rclk=1
Nhà thuốc Phúc Hằng,"Địa chỉ: thôn 1 Đông Hồ, Thụy Phong, Thái Thụy, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Ph%C3%BAc+H%E1%BA%B1ng/data=!4m7!3m6!1s0x3135f54299f3c545:0x7f4223c927877935!8m2!3d20.5493489!4d106.4625307!16s%2Fg%2F11l6d4xgm7!19sChIJRcXzmUL1NTERNXmHJ8kjQn8?authuser=0&hl=vi&rclk=1
Nhà Thuốc Tây Thuận Lai Tường,"Địa chỉ: 289 Đường Không Tên, thị trấn Diêm Điền, Thái Thụy, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+T%C3%A2y+Thu%E1%BA%ADn+Lai+T%C6%B0%E1%BB%9Dng/data=!4m7!3m6!1s0x314a098f9f5dbae9:0x5e7b63b209636baa!8m2!3d20.5589274!4d106.5687041!16s%2Fg%2F11fxzl73st!19sChIJ6bpdn48JSjERqmtjCbJje14?authuser=0&hl=vi&rclk=1
Nhà Thuốc Sen Việt,"Địa chỉ: HG52+GRC Chợ Thượng Phúc, Thụy Sơn, Thái Thụy, Thái Bình",Số điện thoại: 0981 543 861,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Sen+Vi%E1%BB%87t/data=!4m7!3m6!1s0x3135f7003acc30e1:0x2ed8d1e3c310690b!8m2!3d20.5587208!4d106.5020977!16s%2Fg%2F11y86t5rlq!19sChIJ4TDMOgD3NTERC2kQw-PR2C4?authuser=0&hl=vi&rclk=1
Nhà Thuốc Châu Giang,"Địa chỉ: F9XX+3Q7, Xóm Châu Giang, Đông Hưng, Thái Bình",Số điện thoại: 0227 3852 045,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Ch%C3%A2u+Giang/data=!4m7!3m6!1s0x3135f08155555555:0x344e951a4122b2ae!8m2!3d20.4976527!4d106.3994357!16s%2Fg%2F1pzr7rxjj!19sChIJVVVVVYHwNTERrrIiQRqVTjQ?authuser=0&hl=vi&rclk=1
Nhà thuốc Liên Bách,"Địa chỉ: 97 Phan Bá Vành, P. Quan Trung, Thái Bình",Số điện thoại: 0945 532 359,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Li%C3%AAn+B%C3%A1ch/data=!4m7!3m6!1s0x3135e5d0c7c6fc41:0x7ca1f76f0fdbcbf4!8m2!3d20.4390821!4d106.3377815!16s%2Fg%2F11rxl9y8gv!19sChIJQfzGx9DlNTER9MvbD2_3oXw?authuser=0&hl=vi&rclk=1
Nhà Thuốc Nguyễn Thị Lan Hương,"Địa chỉ: F8G6+9VM, Chợ, Ô Mễ, Vũ Thư, Thái Bình",Số điện thoại: 0227 3826 167,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Nguy%E1%BB%85n+Th%E1%BB%8B+Lan+H%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3135e512bea3e729:0x2e14c3e1a7c9f563!8m2!3d20.4759705!4d106.3121831!16s%2Fg%2F11c6w00btb!19sChIJKeejvhLlNTERY_XJp-HDFC4?authuser=0&hl=vi&rclk=1
Quầy thuốc Bảo An,"Địa chỉ: CGGR+7RQ, Unnamed, Road, Tiền Hải, Thái Bình",,https://www.google.com/maps/place/Qu%E1%BA%A7y+thu%E1%BB%91c+B%E1%BA%A3o+An/data=!4m7!3m6!1s0x314a07b2c7aa6cb9:0x4f8221e435f979b!8m2!3d20.4257112!4d106.542116!16s%2Fg%2F11h5l7c8yv!19sChIJuWyqx7IHSjERm5dfQx4i-AQ?authuser=0&hl=vi&rclk=1
Nhà Thuốc Tuệ Minh,"Địa chỉ: 92 Lê Đại Hành, P. Kỳ Bá, Thái Bình",Số điện thoại: 0983 710 086,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Tu%E1%BB%87+Minh/data=!4m7!3m6!1s0x3135fb2adfc4777d:0xe0c13707db3935fd!8m2!3d20.4478637!4d106.3477048!16s%2Fg%2F1pp2v0sm_!19sChIJfXfE3yr7NTER_TU52wc3weA?authuser=0&hl=vi&rclk=1
Nhà Thuốc Trung Tâm,"Địa chỉ: Đường Lý Bôn, P. Kỳ Bá, Thái Bình",Số điện thoại: 0227 3641 541,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Trung+T%C3%A2m/data=!4m7!3m6!1s0x3135e4d1f174b795:0x58fcce8673be6032!8m2!3d20.4411056!4d106.3395724!16s%2Fg%2F1pzwfcxs9!19sChIJlbd08dHkNTERMmC-c4bO_Fg?authuser=0&hl=vi&rclk=1
Nhà Thuốc Phạm Thị Thơm,"Địa chỉ: H985+VXF, Xóm 6, Đông Hưng, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Ph%E1%BA%A1m+Th%E1%BB%8B+Th%C6%A1m/data=!4m7!3m6!1s0x3135f1e90ae86d81:0xc8b17521170594ee!8m2!3d20.5671935!4d106.3599178!16s%2Fg%2F11csrpq_p6!19sChIJgW3oCunxNTER7pQFFyF1scg?authuser=0&hl=vi&rclk=1
Nhà Thuốc Phương Vân,"Địa chỉ: F9W6+8JX, Ngã Tư Gia Lễ, Xã, Thái Bình",Số điện thoại: 1223 355252,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Ph%C6%B0%C6%A1ng+V%C3%A2n/data=!4m7!3m6!1s0x3135f009d710c819:0x51b252d37292f5a9!8m2!3d20.4958617!4d106.3616237!16s%2Fg%2F11hfjb9lkr!19sChIJGcgQ1wnwNTERqfWSctNSslE?authuser=0&hl=vi&rclk=1
Nhà Thuốc Minh San,"Địa chỉ: 52 Đường Nguyễn Đức Cảnh, Hoàn Diệu, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Minh+San/data=!4m7!3m6!1s0x3135fb007a28a7e5:0xfec8cb939c85f46!8m2!3d20.4604503!4d106.3481276!16s%2Fg%2F11x6nd144v!19sChIJ5acoegD7NTERRl_IObmM7A8?authuser=0&hl=vi&rclk=1
Thuốc Thú Y Duyên Hưng,"Địa chỉ: Đông Phong, Chợ Chùa, Thái Bình",Số điện thoại: 0989 136 398,https://www.google.com/maps/place/Thu%E1%BB%91c+Th%C3%BA+Y+Duy%C3%AAn+H%C6%B0ng/data=!4m7!3m6!1s0x3135f156d225608f:0x12684dd9389cd655!8m2!3d20.5073694!4d106.4029949!16s%2Fg%2F11h1m4vrg0!19sChIJj2Al0lbxNTERVdacONlNaBI?authuser=0&hl=vi&rclk=1
Nhà Thuốc Hiệp Huyền,"Địa chỉ: 387 Lý Bôn, P. Quan Trung, Thái Bình",Số điện thoại: 0974 611 983,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Hi%E1%BB%87p+Huy%E1%BB%81n/data=!4m7!3m6!1s0x3135e4d1ec3c1c5b:0xc077540102fa3966!8m2!3d20.4412877!4d106.3395645!16s%2Fg%2F11j8wfyl_3!19sChIJWxw87NHkNTERZjn6AgFUd8A?authuser=0&hl=vi&rclk=1
Nhà Thuốc Tây Hoàng Thị Phương,"Địa chỉ: CG63+GPF, ĐT219, Tây Lương, Tiền Hải, Thái Bình",Số điện thoại: 0947 569 919,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+T%C3%A2y+Ho%C3%A0ng+Th%E1%BB%8B+Ph%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3135f8c21155270d:0x5cfdb37d185d589f!8m2!3d20.4113174!4d106.5042865!16s%2Fg%2F11g9hbj97s!19sChIJDSdVEcL4NTERn1hdGH2z_Vw?authuser=0&hl=vi&rclk=1
NHÀ THUỐC ĐỨC ANH 1,"Địa chỉ: 736 Lý Bôn, Trần Lâm, Thái Bình",,https://www.google.com/maps/place/NH%C3%80+THU%E1%BB%90C+%C4%90%E1%BB%A8C+ANH+1/data=!4m7!3m6!1s0x3135e4cc358bf46d:0x33a32cf6f68648ff!8m2!3d20.4363932!4d106.3417854!16s%2Fg%2F11btxl544m!19sChIJbfSLNczkNTER_0iG9vYsozM?authuser=0&hl=vi&rclk=1
Nhà Thuốc Giang Ngọc,"Địa chỉ: 395 Lý Bôn, P. Kỳ Bá, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Giang+Ng%E1%BB%8Dc/data=!4m7!3m6!1s0x3135e4d1ecfad915:0xb99d872532a23e1!8m2!3d20.4411416!4d106.3395372!16s%2Fg%2F11fnwhg9qr!19sChIJFdn67NHkNTER4SMqU3LYmQs?authuser=0&hl=vi&rclk=1
Nhà Thuốc Minh Đức,"Địa chỉ: 13 Hoàng Văn Thái, Trần Lâm, Thái Bình",Số điện thoại: 0227 3732 659,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Minh+%C4%90%E1%BB%A9c/data=!4m7!3m6!1s0x3135fb2f0b3a13e3:0x7f6395ab87678c3e!8m2!3d20.4414054!4d106.3566602!16s%2Fg%2F1pp2v3330!19sChIJ4xM6Cy_7NTERPoxnh6uVY38?authuser=0&hl=vi&rclk=1
Nhà Thuốc Tuyết Hiệp,"Địa chỉ: 90 Trần Thái Tông, P. Bồ Xyên, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Tuy%E1%BA%BFt+Hi%E1%BB%87p/data=!4m7!3m6!1s0x3135e5299e20f1db:0x27c55d6608281875!8m2!3d20.4543049!4d106.3392826!16s%2Fg%2F11gr61kq8z!19sChIJ2_EgninlNTERdRgoCGZdxSc?authuser=0&hl=vi&rclk=1
Nhà Thuốc Ngọc Chinh,"Địa chỉ: H82V+G3C, QL39A, Nguyên Xá, Đông Hưng, Thái Bình",Số điện thoại: 0973 998 669,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Ng%E1%BB%8Dc+Chinh/data=!4m7!3m6!1s0x3135ee2910382d1b:0x6b3c53215ff477a5!8m2!3d20.5513175!4d106.3426297!16s%2Fg%2F11g9hgw_3l!19sChIJGy04ECnuNTERpXf0XyFTPGs?authuser=0&hl=vi&rclk=1
Nhà Thuốc Khánh Hưng,"Địa chỉ: 41 Bồ Xuyên, P. Bồ Xyên, Thái Bình",Số điện thoại: 0227 3740 935,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Kh%C3%A1nh+H%C6%B0ng/data=!4m7!3m6!1s0x3135e52ba3e87511:0x90db5e4ea12f3aa1!8m2!3d20.4552004!4d106.3432277!16s%2Fg%2F1pp2v0pw2!19sChIJEXXooyvlNTERoTovoU5e25A?authuser=0&hl=vi&rclk=1
Hiệu Thuốc Trung Tâm - Dược Phẩm Thái Bình,"Địa chỉ: F83Q+MMR, Trần Thái Tông, P, Thái Bình",,https://www.google.com/maps/place/Hi%E1%BB%87u+Thu%E1%BB%91c+Trung+T%C3%A2m+-+D%C6%B0%E1%BB%A3c+Ph%E1%BA%A9m+Th%C3%A1i+B%C3%ACnh/data=!4m7!3m6!1s0x3135e5299c2a3d31:0x31d16579b0197f5!8m2!3d20.4542362!4d106.3391406!16s%2Fg%2F12vtlh3l1!19sChIJMT0qnCnlNTER9ZcBm1cWHQM?authuser=0&hl=vi&rclk=1
Nhà Thuốc Minh Vượng,"Địa chỉ: 753 Lý Bôn, Trần Lâm, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Minh+V%C6%B0%E1%BB%A3ng/data=!4m7!3m6!1s0x3135e4cb0c5148a5:0x11511bd78493bdf3!8m2!3d20.4319464!4d106.3440457!16s%2Fg%2F11b67l99nv!19sChIJpUhRDMvkNTER872ThNcbURE?authuser=0&hl=vi&rclk=1
Nhà Thuốc Nam Chấn Cường,"Địa chỉ: 4 Nguyễn Du, P. Lê Hồng, Thái Bình",Số điện thoại: 0363 834 675,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Nam+Ch%E1%BA%A5n+C%C6%B0%E1%BB%9Dng/data=!4m7!3m6!1s0x3135e4d53936043b:0xade3fc461a747073!8m2!3d20.4489163!4d106.3453167!16s%2Fg%2F11fswjg4kg!19sChIJOwQ2OdXkNTERc3B0Gkb8460?authuser=0&hl=vi&rclk=1
Nhà Thuốc Hà,"Địa chỉ: 42 Phan Bội Châu, P. Lê Hồng, Thái Bình",Số điện thoại: 0227 3834 688,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+H%C3%A0/data=!4m7!3m6!1s0x3135e4d510337b8b:0x5e9f2693c800b01!8m2!3d20.4489064!4d106.3441965!16s%2Fg%2F1pp2v22qy!19sChIJi3szENXkNTERAQuAPGny6QU?authuser=0&hl=vi&rclk=1
Quầy thuốc Ngọc anh,"Địa chỉ: F9CH+5HJ, Unnamed, Road, Kiến Xương, Thái Bình",,https://www.google.com/maps/place/Qu%E1%BA%A7y+thu%E1%BB%91c+Ng%E1%BB%8Dc+anh/data=!4m7!3m6!1s0x3135fbd8a6bb56b9:0xf734aaf3bb841149!8m2!3d20.4704541!4d106.3788988!16s%2Fg%2F11jjn_q9r5!19sChIJuVa7ptj7NTERSRGEu_OqNPc?authuser=0&hl=vi&rclk=1
Nhà Thuốc Hòa Trụ,"Địa chỉ: Đường Lý Thường Kiệt, P. Lê Hồng, Thái Bình",Số điện thoại: 0227 3733 934,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+H%C3%B2a+Tr%E1%BB%A5/data=!4m7!3m6!1s0x3135fad57db916eb:0xdea9789903dff33c!8m2!3d20.4504039!4d106.3485758!16s%2Fg%2F1pzrbtbv0!19sChIJ6xa5fdX6NTERPPPfA5l4qd4?authuser=0&hl=vi&rclk=1
Nhà thuốc Hiểu Trang,"Địa chỉ: Commune, Vũ Lê, Kiến Xương, Thái Bình",Số điện thoại: 0985 999 656,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Hi%E1%BB%83u+Trang/data=!4m7!3m6!1s0x3135fbacf1dbe2bf:0xc2d2155fe48470fa!8m2!3d20.4356852!4d106.3945007!16s%2Fg%2F1pzts524s!19sChIJv-Lb8az7NTER-nCE5F8V0sI?authuser=0&hl=vi&rclk=1
Nhà Thuốc Doanh Nghiệp Số 15,"Địa chỉ: 20 Phan Bội Châu, P. Lê Hồng, Thái Bình, 06000",Số điện thoại: 0986 393 633,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Doanh+Nghi%E1%BB%87p+S%E1%BB%91+15/data=!4m7!3m6!1s0x3135e50e4e1788ad:0x779c75819d403039!8m2!3d20.4492533!4d106.3441141!16s%2Fg%2F11vc6bz6qp!19sChIJrYgXTg7lNTEROTBAnYF1nHc?authuser=0&hl=vi&rclk=1
Nhà Thuốc 24,"Địa chỉ: 24 Chu Văn An, P. Quan Trung, Thái Bình",Số điện thoại: 0964 127 273,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+24/data=!4m7!3m6!1s0x3135e4c265c0657b:0x6f03f69d5fe47066!8m2!3d20.4377714!4d106.3237783!16s%2Fg%2F11c1t4_g0l!19sChIJe2XAZcLkNTERZnDkX532A28?authuser=0&hl=vi&rclk=1
Nhà Thuốc Thú Y Trọng Quân,"Địa chỉ: H985+PFM, QL10, Đông Là, Đông Hưng, Thái Bình",Số điện thoại: 0227 6277 426,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Th%C3%BA+Y+Tr%E1%BB%8Dng+Qu%C3%A2n/data=!4m7!3m6!1s0x3135f1e873ac3335:0x4ecdce5fc5162f30!8m2!3d20.5668379!4d106.3586855!16s%2Fg%2F1pp2v2fpw!19sChIJNTOsc-jxNTERMC8WxV_OzU4?authuser=0&hl=vi&rclk=1
Nhà Thuốc Hòa Chiện,"Địa chỉ: tt. Tiền Hải, Tiền Hải, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+H%C3%B2a+Chi%E1%BB%87n/data=!4m7!3m6!1s0x3135f8c5453591a7:0xaf5abce69f2c3257!8m2!3d20.4019639!4d106.5003209!16s%2Fg%2F11tdr2qzlk!19sChIJp5E1RcX4NTERVzIsn-a8Wq8?authuser=0&hl=vi&rclk=1
Nhà thuốc Nguyệt Hà,"Địa chỉ: 693 Long Hưng, Hoàn Diệu, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Nguy%E1%BB%87t+H%C3%A0/data=!4m7!3m6!1s0x3135fb512191bed9:0xded2d6cca2b373b4!8m2!3d20.4640175!4d106.3540173!16s%2Fg%2F11nfny5v8s!19sChIJ2b6RIVH7NTERtHOzoszW0t4?authuser=0&hl=vi&rclk=1
Nhà Thuốc Tây Ngọc Lan,"Địa chỉ: 57 Lý Bôn, Tiền Phong, Thái Bình",Số điện thoại: 0936 669 660,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+T%C3%A2y+Ng%E1%BB%8Dc+Lan/data=!4m7!3m6!1s0x3135e5234911023b:0xa2185c1ea3e52344!8m2!3d20.4637557!4d106.3275127!16s%2Fg%2F11c57cn3jl!19sChIJOwIRSSPlNTERRCPlox5cGKI?authuser=0&hl=vi&rclk=1
Nhà Thuốc Hà Khánh,"Địa chỉ: 128 Lý Bôn, Phú Xuân, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+H%C3%A0+Kh%C3%A1nh/data=!4m7!3m6!1s0x3135e5248719299f:0xb18fa039040fe4bb!8m2!3d20.4611948!4d106.3290212!16s%2Fg%2F1pp2v35nd!19sChIJnykZhyTlNTERu-QPBDmgj7E?authuser=0&hl=vi&rclk=1
Nhà Thuốc 242,"Địa chỉ: 223 Trần Thái Tông, Trần Hưng, Thái Bình",Số điện thoại: 0916 801 333,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+242/data=!4m7!3m6!1s0x3135e4d96899d86b:0x42c33b41ffdb5fee!8m2!3d20.4471597!4d106.3305286!16s%2Fg%2F11c57cf4vv!19sChIJa9iZaNnkNTER7l_b_0E7w0I?authuser=0&hl=vi&rclk=1
Nhà Thuốc Hoàng Lan,"Địa chỉ: 620 Lý Bôn, Cầu Nề, Thái Bình",Số điện thoại: 0227 2479 241,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Ho%C3%A0ng+Lan/data=!4m7!3m6!1s0x3135e4ce087052ab:0xbd61fe2a33a96bc7!8m2!3d20.4391585!4d106.340014!16s%2Fg%2F1hc2sln9l!19sChIJq1JwCM7kNTERx2upMyr-Yb0?authuser=0&hl=vi&rclk=1
Nhà Thuốc Bình Huế,"Địa chỉ: 31 Nguyễn Trãi, Vũ Phú, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+B%C3%ACnh+Hu%E1%BA%BF/data=!4m7!3m6!1s0x3135e4e9a14a0dcb:0x751e9691ad20211a!8m2!3d20.4376027!4d106.3202484!16s%2Fg%2F11c57cdswq!19sChIJyw1KoenkNTERGiEgrZGWHnU?authuser=0&hl=vi&rclk=1
Nhà thuốc Trịnh Thủy,"Địa chỉ: FGRP+89X, QL37B, Thái Xuyên, Thái Thụy, Thái Bình",Số điện thoại: 0979 081 293,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Tr%E1%BB%8Bnh+Th%E1%BB%A7y/data=!4m7!3m6!1s0x314a081d4f4c21bb:0x23d0fbd0410f89ba!8m2!3d20.4908515!4d106.5359902!16s%2Fg%2F11c54n0s3v!19sChIJuyFMTx0ISjERuokPQdD70CM?authuser=0&hl=vi&rclk=1
Nhà Thuốc Trường Mai,"Địa chỉ: 4 Đường Lê Đại Hành, Trần Lâm, Thái Bình",Số điện thoại: 0227 3834 639,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Tr%C6%B0%E1%BB%9Dng+Mai/data=!4m7!3m6!1s0x3135fb2b8b2fc655:0x4ce42ae50fcdd08a!8m2!3d20.4447323!4d106.3507085!16s%2Fg%2F1pztw_h4w!19sChIJVcYviyv7NTERitDND-Uq5Ew?authuser=0&hl=vi&rclk=1
Nhà Thuốc Tây 242,"Địa chỉ: 242 QL37, thị trấn Diêm Điền, Thái Thụy, Thái Bình",,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+T%C3%A2y+242/data=!4m7!3m6!1s0x314a09893fdd214f:0xf59d935f074e2a7c!8m2!3d20.5640259!4d106.5655329!16s%2Fg%2F11c57d75qv!19sChIJTyHdP4kJSjERfCpOB1-TnfU?authuser=0&hl=vi&rclk=1
Nhà Thuốc Hồng Hòa,"Địa chỉ: 42 Trần Thái Tông, P. Bồ Xyên, Thái Bình",Số điện thoại: 0227 3835 014,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+H%E1%BB%93ng+H%C3%B2a/data=!4m7!3m6!1s0x3135e5297b9b37cf:0xd03a88f849e5e57e!8m2!3d20.4548378!4d106.3399903!16s%2Fg%2F1hc1v5frq!19sChIJzzebeynlNTERfuXlSfiIOtA?authuser=0&hl=vi&rclk=1
Nhà Thuốc Tây Dương Trang,"Địa chỉ: F8C8+GPX, ĐT223, Tân Bình, Thái Bình",Số điện thoại: 0904 122 662,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+T%C3%A2y+D%C6%B0%C6%A1ng+Trang/data=!4m7!3m6!1s0x3135e513f885755b:0x9236cafb5ae7a9fc!8m2!3d20.4713577!4d106.3168677!16s%2Fg%2F11c57cqhk4!19sChIJW3WF-BPlNTER_KnnWvvKNpI?authuser=0&hl=vi&rclk=1
Nhà Thuốc Sao Mai,"Địa chỉ: 79 Quang Trung, Trần Hưng, Thái Bình",Số điện thoại: 0227 3643 343,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Sao+Mai/data=!4m7!3m6!1s0x3135e4d0736c888b:0xf5565c91785a4372!8m2!3d20.4418487!4d106.3351787!16s%2Fg%2F1hc2w43s0!19sChIJi4hsc9DkNTERckNaeJFcVvU?authuser=0&hl=vi&rclk=1
Nhà Thuốc Minh Hiếu,"Địa chỉ: C8RX+366, Dốc Đen, Trần Lâm, Thái Bình",Số điện thoại: 0227 3834 899,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Minh+Hi%E1%BA%BFu/data=!4m7!3m6!1s0x3135fb2d696c3b3f:0x7b77a08eeabaaeb6!8m2!3d20.4401678!4d106.3480015!16s%2Fg%2F11c1t5sp1k!19sChIJPztsaS37NTERtq666o6gd3s?authuser=0&hl=vi&rclk=1
Nhà thuốc Tuệ Minh,"Địa chỉ: 399 Lê Quý Đôn, P. Lê Hồng, Thái Bình",Số điện thoại: 0889 335 599,https://www.google.com/maps/place/Nh%C3%A0+thu%E1%BB%91c+Tu%E1%BB%87+Minh/data=!4m7!3m6!1s0x3135e500683b6b6b:0x80574dabc5891938!8m2!3d20.4484009!4d106.3432874!16s%2Fg%2F11lcz29qn8!19sChIJa2s7aADlNTEROBmJxatNV4A?authuser=0&hl=vi&rclk=1
Nhà Thuốc Nguyễn Thị Thu Hà,"Địa chỉ: 125 Lý Thường Kiệt, P. Kỳ Bá, Thái Bình",Số điện thoại: 0906 153 868,https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Nguy%E1%BB%85n+Th%E1%BB%8B+Thu+H%C3%A0/data=!4m7!3m6!1s0x3135fb2a672409cd:0x8105e3bf370ad32c!8m2!3d20.4491798!4d106.3497855!16s%2Fg%2F11c57cz6m7!19sChIJzQkkZyr7NTERLNMKN7_jBYE?authuser=0&hl=vi&rclk=1
